vids freq
SWE_1 0.000192
SWE_1 0.001536
SWE_1 0.006142
SWE_1 0.006142
SWE_1 0.007019
SWE_1 0.007019
SWE_1 0.006433
SWE_1 0.006433
SWE_1 0.007304
SWE_1 0.002311
SWE_1 0.000384
SWE_1 0.005761
SWE_1 0.012118
SWE_1 0.010588
SWE_1 0.000960
SWE_1 0.000960
SWE_1 0.001824
SWE_1 0.001824
SWE_1 0.000384
SWE_1 0.000384
SWE_2 0.002655
SWE_2 0.002655
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.001060
SWE_2 0.003191
SWE_2 0.001766
SWE_2 0.000883
SWE_2 0.000883
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000883
SWE_2 0.000883
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.001060
SWE_2 0.001060
SWE_2 0.001060
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.001766
SWE_2 0.000706
SWE_2 0.001413
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.001413
SWE_2 0.001766
SWE_2 0.000706
SWE_2 0.001413
SWE_2 0.000712
SWE_2 0.000712
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000883
SWE_2 0.000883
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.001766
SWE_2 0.000536
SWE_2 0.000536
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.001413
SWE_2 0.001413
SWE_2 0.000706
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000530
SWE_2 0.000530
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.002826
SWE_2 0.002837
SWE_2 0.002119
SWE_2 0.001589
SWE_2 0.001589
SWE_2 0.002472
SWE_2 0.000530
SWE_2 0.000530
SWE_2 0.000706
SWE_2 0.001766
SWE_2 0.001248
SWE_2 0.001248
SWE_2 0.001236
SWE_2 0.001236
SWE_2 0.001413
SWE_2 0.001766
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.007088
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.002119
SWE_2 0.000353
SWE_2 0.001413
SWE_2 0.010949
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.001413
SWE_2 0.000706
SWE_2 0.001060
SWE_2 0.001589
SWE_2 0.001589
SWE_2 0.002472
SWE_2 0.002472
SWE_2 0.008135
SWE_2 0.011302
SWE_2 0.018013
SWE_2 0.006369
SWE_2 0.002826
SWE_2 0.001060
SWE_2 0.001060
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.006004
SWE_2 0.003532
SWE_2 0.001236
SWE_2 0.001236
SWE_2 0.002472
SWE_2 0.002472
SWE_2 0.002826
SWE_2 0.003885
SWE_2 0.001060
SWE_2 0.000712
SWE_2 0.000712
SWE_2 0.000712
SWE_2 0.000712
SWE_2 0.003179
SWE_2 0.004603
SWE_2 0.002826
SWE_2 0.001766
